 Year,Month,Rainfall,Temperature
1955,12,218.897,10.6166
1956,1,144.739,8.97394
1956,2,65.0559,5.98458
1956,3,206.792,10.3931
1956,4,94.7157,12.1209
1956,5,42.3158,15.925
1956,6,7.36895,19.0026
1956,7,6.14754,21.0861
1956,8,28.8846,20.7718
1956,9,71.8438,18.5313
1956,10,75.1153,16.198
1956,11,33.6247,9.62442
1956,12,62.7418,7.1644
1957,1,30.6401,6.48692
1957,2,97.8623,10.2236
1957,3,61.7339,12.9929
1957,4,61.3657,12.3244
1957,5,78.5127,14.956
1957,6,48.2095,18.4769
1957,7,3.24213,22.4532
1957,8,4.20322,22.5601
1957,9,58.5744,20.7533
1957,10,33.9041,15.4192
1957,11,69.1595,10.7422
1957,12,75.5259,7.2799
1958,1,123.448,8.45514
1958,2,66.0865,10.7162
1958,3,127.29,11.0736
1958,4,36.2151,12.4978
1958,5,42.4043,16.7058
1958,6,32.0654,18.3447
1958,7,7.7159,21.2302
1958,8,15.3755,21.4267
1958,9,20.0188,20.649
1958,10,63.2777,16.123
1958,11,16.8597,11.4164
1958,12,286.192,9.8044
1959,1,120.58,9.79621
1959,2,59.304,8.7827
1959,3,128.496,11.3332
1959,4,57.7308,13.2014
1959,5,86.7523,15.2575
1959,6,23.0938,19.4893
1959,7,11.3356,22.2808
1959,8,17.6252,21.9375
1959,9,85.5466,19.4905
1959,10,93.9934,16.0187
1959,11,120.905,11.3586
1959,12,163.631,9.24894
1960,1,121.083,8.34338
1960,2,196.196,9.7576
1960,3,160.157,11.7123
1960,4,45.7607,13.7049
1960,5,94.7393,16.5608
1960,6,27.9618,20.5919
1960,7,9.98956,21.5651
1960,8,12.6153,20.952
1960,9,41.7239,19.5515
1960,10,226.228,14.1177
1960,11,127.319,11.7469
1960,12,124.155,7.75425
1961,1,75.6268,7.65198
1961,2,32.1091,11.9136
1961,3,48.3614,14.0118
1961,4,90.7516,13.6398
1961,5,96.1853,17.906
1961,6,45.5083,19.9338
1961,7,26.5024,22.1334
1961,8,2.79289,23.6162
1961,9,50.2517,20.3337
1961,10,79.06,15.2294
1961,11,169.972,11.0872
1961,12,167.697,10.3304
1962,1,108.405,8.90935
1962,2,41.2966,8.93051
1962,3,193.336,10.4832
1962,4,50.297,13.3282
1962,5,21.7613,16.1364
1962,6,26.3761,20.3682
1962,7,6.32464,21.2917
1962,8,0.91114,22.8346
1962,9,42.75,20.8517
1962,10,97.9941,17.5626
1962,11,78.8674,9.44889
1962,12,83.024,7.71053
1963,1,219.151,8.3451
1963,2,189.796,7.34921
1963,3,102.08,10.5131
1963,4,108.895,12.867
1963,5,36.3062,16.0987
1963,6,47.6337,18.3871
1963,7,3.66463,22.1259
1963,8,4.04976,20.6515
1963,9,33.0189,18.8735
1963,10,47.701,17.9779
1963,11,260.585,12.0664
1963,12,201.207,8.09437
1964,1,43.1715,8.49703
1964,2,195.335,9.88325
1964,3,149.266,10.3528
1964,4,42.4663,12.6313
1964,5,23.1008,18.5083
1964,6,53.681,19.7568
1964,7,8.75786,22.2152
1964,8,5.40312,22.6258
1964,9,38.4562,22.0452
1964,10,36.4186,15.437
1964,11,38.2954,11.6123
1964,12,54.2585,7.01508
1965,1,101.998,7.82246
1965,2,77.285,7.62522
1965,3,127.676,11.3758
1965,4,13.13,13.6198
1965,5,16.9575,18.1001
1965,6,18.0131,20.4265
1965,7,4.51604,20.0673
1965,8,3.36783,22.1733
1965,9,110.71,17.6153
1965,10,176.728,15.8631
1965,11,159.782,10.6269
1965,12,112.604,9.23555
1966,1,200.616,10.7049
1966,2,249.006,10.6155
1966,3,4.37585,11.2464
1966,4,170.971,13.0555
1966,5,19.1309,17.1797
1966,6,39.9854,18.8159
1966,7,1.89017,21.4666
1966,8,20.4359,21.6427
1966,9,26.146,21.3233
1966,10,150.692,14.414
1966,11,73.5166,8.9522
1966,12,31.1904,8.51059
1967,1,80.5612,7.92602
1967,2,102.456,9.59328
1967,3,58.9307,12.7701
1967,4,40.9773,12.7551
1967,5,77.716,14.0467
1967,6,25.9076,19.3732
1967,7,0.57515,22.1884
1967,8,13.0721,21.607
1967,9,22.9897,19.0751
1967,10,68.1045,16.768
1967,11,130.365,11.187
1967,12,19.392,7.60491
1968,1,7.24004,8.70755
1968,2,206.814,9.23565
1968,3,75.1451,10.2919
1968,4,79.6444,12.2535
1968,5,55.8967,15.5287
1968,6,11.7748,19.9062
1968,7,1.53513,21.8985
1968,8,15.1135,21.7319
1968,9,43.7304,18.804
1968,10,61.8948,18.2636
1968,11,172.791,12.3698
1968,12,129.534,8.95317
1969,1,153.4,9.32371
1969,2,156.634,7.84405
1969,3,214.591,10.3935
1969,4,52.1015,12.4775
1969,5,93.3676,14.4677
1969,6,46.4464,18.0364
1969,7,6.45003,23.3907
1969,8,2.40602,22.3511
1969,9,86.5431,17.3492
1969,10,69.338,16.663
1969,11,115.113,10.4552
1969,12,58.465,7.49154
1970,1,330.826,9.56276
1970,2,34.0387,9.16722
1970,3,37.305,9.37847
1970,4,18.7855,12.9827
1970,5,89.9924,16.292
1970,6,77.4723,18.414
1970,7,3.56127,22.3353
1970,8,12.5228,21.0833
1970,9,5.33454,21.5789
1970,10,9.26626,16.2037
1970,11,88.3383,13.7163
1970,12,47.8913,6.25255
1971,1,183.156,7.82614
1971,2,18.9397,10.1532
1971,3,69.7404,9.11693
1971,4,141.484,12.224
1971,5,114.368,13.6929
1971,6,81.2908,17.1362
1971,7,37.3055,21.5434
1971,8,23.8692,20.1296
1971,9,4.31177,20.1742
1971,10,22.1484,18.4888
1971,11,20.1991,10.5582
1971,12,53.4446,9.13289
1972,1,145.929,6.9939
1972,2,198.445,8.71639
1972,3,109.223,9.85886
1972,4,26.1646,12.9541
1972,5,42.4718,14.3387
1972,6,14.8211,17.2362
1972,7,17.3668,21.1418
1972,8,6.03864,20.9367
1972,9,53.5484,17.7402
1972,10,161.206,14.6402
1972,11,65.1291,12.0261
1972,12,128.043,8.66931
1973,1,112.832,8.07433
1973,2,27.6338,8.53096
1973,3,36.5579,10.5393
1973,4,24.6223,13.3414
1973,5,120.269,15.6914
1973,6,29.8288,19.6179
1973,7,20.9633,20.845
1973,8,2.64958,23.2375
1973,9,30.8464,19.1981
1973,10,57.6432,15.7708
1973,11,56.6325,12.5169
1973,12,86.8096,7.69068
1974,1,140.478,9.8064
1974,2,105.442,8.92147
1974,3,65.2005,10.3939
1974,4,58.9661,11.5901
1974,5,45.843,15.8877
1974,6,94.0482,18.9734
1974,7,3.30325,22.9405
1974,8,2.07091,21.625
1974,9,14.4445,18.1845
1974,10,9.88369,13.4303
1974,11,93.4894,11.7421
1974,12,22.3097,9.60294
1975,1,91.433,9.54873
1975,2,105.016,10.1992
1975,3,157.509,9.1592
1975,4,34.0278,12.6083
1975,5,57.2454,14.5098
1975,6,21.182,18.7104
1975,7,2.93253,22.1309
1975,8,5.33063,22.3737
1975,9,54.9523,18.5155
1975,10,36.1058,16.7215
1975,11,51.0368,11.6061
1975,12,78.9772,7.43572
1976,1,44.4483,7.62235
1976,2,69.2306,9.7857
1976,3,53.2471,11.0363
1976,4,84.3654,11.5409
1976,5,18.219,15.9677
1976,6,21.9019,21.4103
1976,7,19.5748,22.5384
1976,8,37.6031,22.3614
1976,9,97.8608,18.3397
1976,10,156.296,14.2264
1976,11,104.178,9.89671
1976,12,184.359,9.772
1977,1,179.417,8.38452
1977,2,199.773,9.9923
1977,3,46.4321,11.7964
1977,4,30.5533,13.9712
1977,5,38.0135,15.1369
1977,6,63.9584,17.3848
1977,7,20.8942,19.6341
1977,8,23.3639,20.1167
1977,9,24.6278,20.867
1977,10,129.584,16.0938
1977,11,94.3482,11.1963
1977,12,206.263,11.103
1978,1,85.2051,8.26971
1978,2,197.497,10.1599
1978,3,83.48,11.0429
1978,4,98.3631,11.6396
1978,5,65.3598,14.3039
1978,6,39.6998,16.964
1978,7,0.69487,21.6565
1978,8,1.84613,22.0684
1978,9,15.5279,22.0472
1978,10,51.478,16.3862
1978,11,56.4543,12.1436
1978,12,321.646,10.725
1979,1,154.86,9.4559
1979,2,249.524,9.72182
1979,3,126.966,9.69591
1979,4,82.8596,12.062
1979,5,33.0523,15.5724
1979,6,23.6181,19.8339
1979,7,20.4496,22.3038
1979,8,2.08724,21.8832
1979,9,13.6596,19.8421
1979,10,226.147,14.7041
1979,11,38.0466,11.3409
1979,12,66.5952,9.53006
